6n ; WL idle 0.0 V, active 1.2 V; cell supply 1.2 V
corner   T   hold SNM(mV)  read SNM(mV)  write-0 BL(mV)  write-1 BL(mV)  leak(pA/bit)  Q/QB hold (V)
mos_tt   27      34.0         -0.1         725.0             nan          20.04   0.358/0.000
mos_tt   85      32.3         -0.1         888.3             nan         288.33   0.359/0.000
mos_ff   27      28.9         -0.1         989.7             nan         161.92   0.329/0.000
mos_ff   85      27.7         -0.1        1165.7             nan        1737.11   0.336/0.000
mos_ss   27      42.7         -0.1         637.3             nan           1.05   0.413/0.000
mos_ss   85      35.7         -0.1         685.5             nan          21.86   0.374/0.000
mos_sf   27      37.1         -0.1         679.8             nan           4.60   0.377/0.000
mos_sf   85      34.0         -0.1         735.6             nan          82.41   0.367/0.000
mos_fs   27      31.5         -0.1         774.3             nan          57.12   0.343/0.000
mos_fs   85      30.0         -0.1        1093.6             nan         710.28   0.347/0.000
